Row,Annotation.ID,formula,adduct,evidence,m.z,RT,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_3603,,,,,590.1537391,7.132811381,Yes,no,angl#2+-212.095,NA,Cluster_2143,1_layer_gnps,simil:0.812; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-212.09529600000008,5
Cluster_3624,,,,,595.1716784,6.898409694,Yes,no,tyglu#8+O,C26H33N2O12P,Cluster_3526,1_layer_mass,simil:NA; mzdiff:Hydroxylation (+O); homol mz:NA; homol RT:NA,NA,-15.997641000000044,1
Cluster_3625,,,,,596.1435454,12.21547134,Yes,no,iglu#4+-119.038,NA,Cluster_2815,1_layer_gnps,simil:0.884; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-119.0377229,4
Cluster_3627,,,,,597.1264251,11.12480908,Yes,no,iglu#4+C7H4O2,C28H27N2O11P,Cluster_2815,2_layers_gnps_mass,simil:0.8734; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02060260000002,4
Cluster_3653,,,,,601.1581282,7.958703188,Yes,no,angl#2+-223.1,NA,Cluster_2143,1_layer_gnps,simil:0.8331; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-223.0996851,6
Cluster_3654,,,,,601.1598899,9.888524425,Yes,no,angl#2+-223.101,NA,Cluster_2143,1_layer_gnps,simil:0.8678; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-223.10144680000008,9
Cluster_3660,,,,,602.1604162,6.499110938,Yes,no,iglu#8+C6H10O5,C25H34NO14P,Cluster_2522,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.05012289999996,3
Cluster_3662,,,,,602.1623021,8.795769812,No,no,iglu#8+C6H10O5,C25H34NO14P,Cluster_2522,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.0520088,3
Cluster_3663,,,,,602.1623021,8.795769812,No,no,iglu#8+C6H10O5,C25H34NO14P,Cluster_2522,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.0520088,3
Cluster_3686,,,,,607.1683575,7.302111519,Yes,no,tyglu#8+CO,C27H33N2O12P,Cluster_3526,2_layers_gnps_mass,simil:0.9325; mzdiff:Formylation (+CO); homol mz:NA; homol RT:NA,NA,-27.99432009999998,1
Cluster_3721,,,,,615.1758246,8.568646389,Yes,no,tyglu#8+-36.002,NA,Cluster_3526,1_layer_gnps,simil:0.9459; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-36.00178720000008,2
Cluster_3723,,,,,616.1341278,11.08057551,Yes,no,angl#4+-119.039,NA,Cluster_2972,1_layer_gnps,simil:0.8115; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-119.03854939999997,3
Cluster_3724,tyglu#4,C28H32N3O11P,[M-H]-,ms2 match,616.1704622,7.646532408,Yes,no,angl#2+-238.112,NA,Cluster_2143,1_layer_gnps,simil:0.825; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-238.1120191,4
Cluster_3725,,,,,616.2155935,8.223444631,Yes,no,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.14600449999995,1
Cluster_3726,,,,,616.2165088,8.847596769,Yes,no,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.14691980000003,5
Cluster_3727,,,,,616.2176527,9.567159956,No,yes,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1480637,1
Cluster_3728,,,,,616.2165082,10.57096236,Yes,no,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1469192,6
Cluster_3729,,,,,616.2176527,9.567159956,No,yes,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1480637,1
Cluster_3733,,,,,617.1544168,7.063894744,Yes,no,angl#2+-239.096,NA,Cluster_2143,1_layer_gnps,simil:0.8195; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-239.09597370000006,7
Cluster_3735,,,,,617.1543819,9.31334888,Yes,no,angl#2+-239.096,NA,Cluster_2143,1_layer_gnps,simil:0.8514; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-239.0959388,8
Cluster_3743,,,,,618.1500025,5.713259609,Yes,no,angl#2+-240.092,NA,Cluster_2143,1_layer_gnps,simil:0.8124; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-240.09155940000005,5
Cluster_3778,,,,,624.1496698,10.40830879,Yes,no,iglu#121+C6H10O5,C27H32NO14P,Cluster_2693,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.05344429999997,1
Cluster_3783,,,,,625.1443623,8.059618752,Yes,no,iglu#6+C6H10O5,C26H31N2O14P,Cluster_5334,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.0541867,2
Cluster_3811,,,,,632.1658531,6.835254808,Yes,no,tyglu#4+O,C28H32N3O12P,Cluster_3724,2_layers_gnps_mass,simil:0.9539; mzdiff:Hydroxylation (+O); homol mz:NA; homol RT:NA,NA,-15.995390900000075,5
Cluster_3818,,,,,634.227632,6.517473678,Yes,no,angl#2+-256.169,NA,Cluster_2143,1_layer_gnps,simil:0.8359; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-256.1691889,3
Cluster_3819,,,,,634.1916296,8.530250443,Yes,no,angl#2+-256.133,NA,Cluster_2143,1_layer_gnps,simil:0.8726; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-256.1331865000001,3
Cluster_3836,,,,,636.2064092,7.965506988,Yes,no,angl#2+C13H22O5,C26H40NO15P,Cluster_2143,2_layers_gnps_mass,simil:0.8356; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1479661000001,3
Cluster_3837,,,,,636.2063846,9.198166195,Yes,no,angl#2+C13H22O5,C26H40NO15P,Cluster_2143,2_layers_gnps_mass,simil:0.8351; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1479415,3
Cluster_3845,,,,,637.2176344,8.301444863,Yes,no,tyglu#8+C3H6O,C29H39N2O12P,Cluster_3526,2_layers_gnps_mass,simil:0.9412; mzdiff:C3H6O; homol mz:NA; homol RT:NA,NA,-58.04359699999998,3
Cluster_3846,,,,,638.2004745,7.886828697,Yes,no,iglu#121+-176.104,NA,Cluster_2693,1_layer_gnps,simil:0.9008; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-176.10424900000004,1
Cluster_3879,,,,,642.2324059,11.8645337,Yes,no,angl#2+-264.174,NA,Cluster_2143,1_layer_gnps,simil:0.8133; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-264.1739628,9
Cluster_3890,,,,,644.2479415,10.64069844,Yes,no,iglu#8+-204.138,NA,Cluster_2522,1_layer_gnps,simil:0.9777; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-204.1376482,3
Cluster_3925,,,,,653.2119018,7.619279868,Yes,no,angl#2+-275.153,NA,Cluster_2143,1_layer_gnps,simil:0.8617; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-275.1534587,5
Cluster_4015,,,,,678.2543163,7.046996823,Yes,no,angl#2+-300.196,NA,Cluster_2143,1_layer_gnps,simil:0.8473; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-300.19587320000005,1
Cluster_4021,,,,,680.2704023,7.172366487,Yes,no,iglu#4+-203.165,NA,Cluster_2815,1_layer_gnps,simil:0.8529; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-203.1645798,2
Cluster_4099,,,,,698.2635824,1.63462321,No,no,iglu#8+C13H22O5,C32H46NO14P,Cluster_2523,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1517169,1
Cluster_4146,,,,,717.1479328,6.094898774,Yes,no,iglu#801+-277.038,NA,Cluster_2524,1_layer_gnps,simil:0.853; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-277.03760950000003,2
Cluster_4152,,,,,721.2383891,9.912448202,Yes,no,iglu#6+C13H22O5,C33H43N2O14P,Cluster_5334,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.14821349999994,2
Cluster_4252,,,,,731.2223854,11.23066449,Yes,no,iglu#8+-291.112,NA,Cluster_2522,1_layer_gnps,simil:0.9018; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-291.1120921,2
Cluster_4258,,,,,735.2541686,11.43182936,Yes,no,iglu#4+C13H22O5,C34H45N2O14P,Cluster_2815,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.14834609999997,1
Cluster_4372,,,,,753.266393,7.371249272,Yes,no,angl#2+-375.208,NA,Cluster_2143,1_layer_gnps,simil:0.8504; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-375.2079499,3
Cluster_4378,,,,,757.1284187,4.903318371,Yes,no,angl#2+-379.07,NA,Cluster_2143,1_layer_gnps,simil:0.8389; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-379.0699756,1
Cluster_4395,,,,,763.2737199,7.2054236,Yes,no,iglu#2+-405.204,NA,Cluster_2005,1_layer_gnps,simil:0.8589; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-405.20413089999994,2
Cluster_4539,,,,,823.2701806,9.402671667,Yes,no,iglu#8+-383.16,NA,Cluster_2522,1_layer_gnps,simil:0.9571; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-383.1598873,3
Cluster_4901,,,,,927.1903099,8.328309949,Yes,no,iglu#8+-487.08,NA,Cluster_2522,1_layer_gnps,simil:0.8002; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-487.08001659999996,1
Cluster_5192,,,,,277.0964533,9.488678845,Yes,no,iglu#1-1.006,NA,Cluster_1277,1_layer_gnps,simil:0.8821; mzdiff:NA; homol mz:NA; homol RT:NA,NA,1.005749699999967,2
Cluster_5212,,,,,308.1999529,13.20905,Yes,no,iglu#8-131.912,NA,Cluster_2523,1_layer_gnps,simil:0.8377; mzdiff:NA; homol mz:NA; homol RT:NA,NA,131.9119126,1
Cluster_5257,,,,,358.069875,8.960683333,No,no,iglu#1+HPO3,C14H18NO8P,Cluster_1277,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96767200000005,2
Cluster_5259,,,,,358.1141173,9.350728754,Yes,no,iglu#2+-0.045,NA,Cluster_2005,1_layer_gnps,simil:0.9591; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-0.04452829999996766,4
Cluster_5307,,,,,439.1299663,7.764260308,Yes,no,iglu#8-0.98,NA,Cluster_2522,1_layer_gnps,simil:0.8474; mzdiff:NA; homol mz:NA; homol RT:NA,NA,0.9803270000000452,3
Cluster_5334,iglu#6,C20H21N2O9P,[M-H]-,MS2 match,463.0901756,8.712779278,Yes,no,iglu#10+C,C20H21N2O9P,Cluster_2598,1_layer_mass,simil:NA; mzdiff:C; homol mz:NA; homol RT:NA,NA,-12.000083300000028,1
Cluster_5335,,,,,463.0901247,7.012448639,No,no,iglu#10+C,C20H21N2O9P,Cluster_2598,1_layer_mass,simil:NA; mzdiff:C; homol mz:NA; homol RT:NA,NA,-12.00003240000001,1
Cluster_5336,iglu#601,C20H21N2O9P,[M-H]-,MS2 match,463.091757,9.673256135,Yes,no,iglu#10+C,C20H21N2O9P,Cluster_2598,1_layer_mass,simil:NA; mzdiff:C; homol mz:NA; homol RT:NA,NA,-12.001664699999992,4
Cluster_5337,,,,,463.0918488,10.54307534,Yes,no,iglu#10+C,C20H21N2O9P,Cluster_2598,2_layers_gnps_mass,simil:0.9165; mzdiff:C; homol mz:NA; homol RT:NA,NA,-12.001756499999999,7
Cluster_5338,,,,,463.0901247,7.012448639,No,no,iglu#10+C,C20H21N2O9P,Cluster_2598,1_layer_mass,simil:NA; mzdiff:C; homol mz:NA; homol RT:NA,NA,-12.00003240000001,1
Cluster_5339,,,,,463.091757,9.673256135,No,no,iglu#10+C,C20H21N2O9P,Cluster_2598,1_layer_mass,simil:NA; mzdiff:C; homol mz:NA; homol RT:NA,NA,-12.001664699999992,1
Cluster_5355,,,,,482.084148,9.804959816,Yes,no,angl#2+-104.026,NA,Cluster_2143,1_layer_gnps,simil:0.8563; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-104.02570490000005,4
Cluster_5368,,,,,498.1539351,12.50039479,Yes,no,iglu#8+C3H6O,C22H30NO10P,Cluster_2522,2_layers_gnps_mass,simil:0.8531; mzdiff:C3H6O; homol mz:NA; homol RT:NA,NA,-58.04364179999999,4
Cluster_5390,,,,,530.0817068,10.85654894,Yes,no,iglu#8+-89.97,NA,Cluster_2523,1_layer_gnps,simil:0.9048; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-89.96984129999998,1
Cluster_5391,,,,,530.0839169,11.31114146,Yes,no,iglu#121+-67.988,NA,Cluster_2693,1_layer_gnps,simil:0.866; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-67.98769139999996,3
Cluster_5394,,,,,534.175555,8.701473392,Yes,no,iglu#8+-94.064,NA,Cluster_2523,1_layer_gnps,simil:0.9651; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-94.06368950000001,3
Cluster_5395,,,,,536.2535258,16.19987053,No,no,iglu#1+C13H22O5,C27H39NO10,Cluster_1278,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1498563,1
Cluster_5408,,,,,576.2220315,9.570463404,Yes,no,iglu#8+-136.11,NA,Cluster_2523,1_layer_gnps,simil:0.9662; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-136.11016599999994,3
Cluster_5460,,,,,662.222015,9.655986464,Yes,no,angl#2+-284.164,NA,Cluster_2143,1_layer_gnps,simil:0.8369; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-284.1635719000001,4
Cluster_5486,,,,,702.3264236,12.07407299,Yes,no,iglu#8+-262.215,NA,Cluster_2523,1_layer_gnps,simil:0.8856; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-262.2145581,2
Cluster_5662,,,,,462.8402094,8.328787468,Yes,no,iglu#2+-104.771,NA,Cluster_2005,1_layer_gnps,simil:0.9796; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-104.77062039999998,11
