"","Name...1","cest33 neg endo ms2 1","cest33 neg endo ms2 2","cest33 neg exo ms2 1","cest33 neg exo ms2 2","neg glo1 endo ms2 top5","neg glo1 exo ms2 top5","neg n2 endo ms2 top5","neg n2 exo ms2 top5","Group","Size","Name...12","Mass","m/z","RT","Adduct","Name...17","name","formula","adduct","evidence","MSI Level","Comment","ChEBI ID","SIRIUS_molecularFormula","SIRIUS_adduct"
"5376","Cluster_5376",NA,NA,NA,NA,NA,367962.4375,48589.7734375,64163.0625,"3998",2,"Cluster_5376",514.304899934074,513.297623934074,11.9885064873108,"M-H","Cluster_5376",NA,NA,NA,NA,NA,NA,NA,"C21H48N4O6P2|C27H47O7P|C23H43N6O5P|C22H47N2O9P|C23H51N2O4PS2|C24H52O5P2S|C26H48N2O4P2|C20H47N6O5PS|C24H51O7PS|C17H44N10O4P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5377","Cluster_5377",NA,NA,NA,NA,258311.953125,NA,408561,NA,"4003",3,"Cluster_5377",515.263114706743,514.255838706743,12.6281024950462,"M-H","Cluster_5377",NA,NA,NA,NA,NA,NA,NA,"",""
"5378","Cluster_5378",NA,NA,NA,NA,277033.40625,NA,525300.8125,NA,"4004",3,"Cluster_5378",515.263222270116,514.255946270116,13.0659392281308,"M-H","Cluster_5378",NA,NA,NA,NA,NA,NA,NA,"C25H42NO8P|C26H42ClNO7|C21H38N7O6P|C22H38ClN7O5|C20H42N3O10P|C29H39O8|C22H37N5O9|C27H37N3O7|C19H43N5O7P2|C24H41N3O7S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5379","Cluster_5379",NA,20106.07421875,NA,NA,338019.78125,NA,641376.75,NA,"4033",3,"Cluster_5379",519.294984877072,518.287708877072,13.8444614088425,"M-H","Cluster_5379",NA,NA,NA,NA,NA,NA,NA,"C25H46NO8P|C21H42N7O6P|C29H43O8|C22H41N5O9|C27H41N3O7|C24H45N3O7S|C20H46N3O10P|C23H37N9O5|C25H41N7O3S|C23H45N5O4S2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5380","Cluster_5380",42125.46484375,90763.9140625,18177.205078125,34510.10546875,1049103.375,355342.46875,1212757.375,632549.6875,"4042",2,"Cluster_5380",521.273078105199,520.265802105199,16.3689980532768,"M-H","Cluster_5380",NA,NA,NA,NA,NA,NA,NA,"C24H44NO9P|C28H41O9|C27H35N7O4|C26H39N3O8|C31H39NO6|C22H35N9O6|C21H39N5O10|C20H40N7O7P|C25H40N5O5P|C23H43N3O8S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5381","Cluster_5381",703673,1477518.625,703620.375,885470.0625,NA,NA,NA,NA,"4067",2,"Cluster_5381",521.917578936138,520.910302936138,19.2470778601404,"M-H","Cluster_5381",NA,NA,NA,NA,NA,NA,NA,"C8H14O18P4|C18H2O19|C10H8N2O19P2|C15H9O15P3|C9H10N4O14P4|C9H9N4O16P3|C8H13O20P3|C12H6N6O12S3|C11H4N6O15P2|C7H15N2O15P5","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5382","Cluster_5382",1609459,2679451.5,335487.96875,927720.8125,NA,NA,NA,NA,"4056",3,"Cluster_5382",521.917135570151,520.909859570151,20.276966769881,"M-H","Cluster_5382",NA,NA,NA,NA,NA,NA,NA,"C8H14O18P4|C10H8N2O19P2|C15H9O15P3|C7H15N2O15P5|C18H2O19|C4H17NO18P5|C8H13O20P3|C9H10N4O14P4|C5H8N4O21P2|C11H4N6O15P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5383","Cluster_5383",3981741.25,2844845.5,1219835.5,1270628.875,NA,NA,NA,NA,"4066",3,"Cluster_5383",521.917567296227,520.910291296227,20.5651883968632,"M-H","Cluster_5383",NA,NA,NA,NA,NA,NA,NA,"C8H14O18P4|C10H8N2O19P2|C15H9O15P3|C18H2O19|C7H15N2O15P5|C4H17NO18P5|C8H13O20P3|C9H10N4O14P4|C9H9N4O16P3|C5H8N4O21P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5384","Cluster_5384",789120,1519768.625,1234709.875,1523798,NA,NA,NA,NA,"4059",2,"Cluster_5384",521.91737415512,520.91009815512,20.6686124923514,"M-H","Cluster_5384",NA,NA,NA,NA,NA,NA,NA,"C8H14O18P4|C18H2O19|C10H8N2O19P2|C15H9O15P3|C9H10N4O14P4|C8H13O20P3|C7H15N2O15P5|C11H4N6O15P2|C12H6N6O12S3|C4H17NO18P5","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"5385","Cluster_5385",4292945,5309367,2118658.25,2509957.75,NA,NA,NA,NA,"4063",2,"Cluster_5385",521.917494727445,520.910218727445,20.9299257259714,"M-H","Cluster_5385",NA,NA,NA,NA,NA,NA,NA,"C8H14O18P4|C10H8N2O19P2|C15H9O15P3|C7H15N2O15P5|C18H2O19|C8H13O20P3|C9H10N4O14P4|C9H9N4O16P3|C5H8N4O21P2|C14H8N2O14P2S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
