Name;name;formula;adduct;evidence;m/z;RT
Cluster_0257;;;;;138.0197122;15.66705917
Cluster_0258;;;;;138.0195913;15.69193559
Cluster_0259;;;;;138.0196748;15.79681256
Cluster_0260;;;;;138.0197548;15.9284801
Cluster_0261;;;;;138.0198035;16.02339418
Cluster_0262;;;;;138.0181641;16.05381712
Cluster_0263;;;;;138.0184947;16.10346414
Cluster_0264;;;;;138.0184473;16.28666768
Cluster_0265;;;;;138.0195481;16.36584269
Cluster_0266;;;;;138.0184862;16.44218733
Cluster_0267;;;;;138.0195816;16.46083225
Cluster_0268;;;;;138.0197064;16.485845
Cluster_0269;;;;;138.019599;16.55683238
Cluster_0270;;;;;138.0196923;2.763867134
Cluster_0271;;;;;138.0184243;2.814561395
Cluster_0272;;;;;138.0197931;3.200666287
Cluster_0273;;;;;138.0195318;3.220994373
Cluster_0274;;;;;138.0196144;3.242188247
Cluster_0275;;;;;138.0196066;3.427160184
Cluster_0276;;;;;138.0196402;3.465787412
Cluster_0277;;;;;138.0179444;3.563206497
Cluster_0278;;;;;138.018194;3.629816614
Cluster_0279;;;;;138.0196052;4.111852113
Cluster_0280;;;;;138.0196298;4.381127749
Cluster_0281;;;;;138.0197534;4.408300839
Cluster_0282;;;;;138.0198941;4.616916607
Cluster_0283;;;;;138.0196224;4.837224223
Cluster_0284;;;;;138.0195466;6.575260383
Cluster_0285;;;;;138.0184927;6.684269611
Cluster_0286;;;;;138.0196052;7.048756507
Cluster_0287;;;;;138.0195966;7.291348326
Cluster_0288;;;;;138.019915;7.348543386
Cluster_0289;;;;;138.0183074;7.495854917
Cluster_0290;;;;;138.0196409;7.545717341
Cluster_0291;;;;;138.0204105;7.701060787
Cluster_0292;;;;;138.0183922;8.465289436
Cluster_0293;;;;;138.0195749;8.540153256
Cluster_0294;;;;;138.0184778;8.716087013
Cluster_0295;;;;;138.019612;8.776110176
Cluster_0296;;;;;138.0184994;8.826026095
Cluster_0297;;;;;138.0197321;9.133175828
Cluster_0298;;;;;138.0196339;9.274866253
Cluster_0299;;;;;138.0198863;9.308216792
Cluster_0300;;;;;138.0197465;9.445163704
Cluster_0301;;;;;138.01955;9.467904233
Cluster_0302;;;;;138.019817;9.490997252
Cluster_0303;;;;;138.018496;9.541751698
Cluster_0304;;;;;138.0184798;9.65932445
Cluster_0305;;;;;138.0195996;9.834111841
Cluster_0306;;;;;138.019634;9.909932586
Cluster_0307;;;;;138.0184071;10.06656522
Cluster_0308;;;;;138.0198348;10.10886731
Cluster_0309;;;;;138.0203481;10.29940145
Cluster_0310;;;;;138.020094;10.37251121
Cluster_0311;;;;;138.0195793;10.56751378
Cluster_0312;;;;;138.0195796;10.64142482
