"","Row","m.z","RT","Annotation.ID","formula","adduct","evidence","MSI.Level","Comment","SIRIUS_molecularFormula","SIRIUS_adduct"
"81","Cluster_0180",89.02545641,0.710519674,"","","","",NA,"","C3H6O3|C2H7N2P|C6H4N","[M - H]-|[M - H]-|[M - H]-"
"82","Cluster_0181",91.02079949,5.505139495,"","","","",NA,"","C3H8OS|C6H4O|C2H7NOP|CH6N3S","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"83","Cluster_0182",91.05558765,0.704806918,"","","","",NA,"","",""
"84","Cluster_0183",91.05556656,2.95624648,"","","","",NA,"","C7H8|C3H11NP","[M - H]-|[M - H]-"
"85","Cluster_0184",96.97049961,0.584415534,"Ortophosphate","H3O4P ","[M-H]-","MS1 + RT",1,"RT: 0.656","H3O4P|C3HNOP","[M - H]-|[M - H]-"
"86","Cluster_0185",96.97057118,0.716737311,"Ortophosphate","H3O4P ","[M-H]-","MS1 + RT",1,"RT: 0.656","H3O4P|CH3ClO3|C4HClN|C3HNOP","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"87","Cluster_0186",97.02543728,0.717278797,"","","","",NA,"","",""
"88","Cluster_0188",97.1505217,0.719598491,"","","","",NA,"","",""
"89","Cluster_0189",99.01015671,0.707582999,"","","","",NA,"","",""
"90","Cluster_0194",101.0254673,0.713428279,"","","","",NA,"","C4H6O3|C3H7N2P|C7H4N","[M - H]-|[M - H]-|[M - H]-"
"91","Cluster_0195",102.0556616,0.699571085,"","","","",NA,"","C4H9NO2|C2H7N4O","[M - H]-|[M - H]-"
"92","Cluster_0196",102.9555577,0.581953608,"","","","",NA,"","",""
"93","Cluster_0197",103.0049253,0.731358989,"","","","",NA,"","",""
"94","Cluster_0198",103.0405761,0.963000839,"","","","",NA,"","C4H8O3|C2H6N3O2","[M - H]-|[M - H]-"
"95","Cluster_0199",103.0405746,2.753654793,"","","","",NA,"","C4H8O3|C2H6N3O2","[M - H]-|[M - H]-"
"96","Cluster_0200",103.0405285,3.361880565,"","","","",NA,"","C4H8O3|C2H6N3O2","[M - H]-|[M - H]-"
"97","Cluster_0203",110.9756609,0.732679632,"","","","",NA,"","CH4O4S|CH6O2P2|C2N4S|C3HN2OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"98","Cluster_0204",111.0103477,0.724637708,"","","","",NA,"","C5H4O3|CH7NO3P|H6N3O2S|C8H2N|C4H5N2P|H8N3P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"99","Cluster_0205",112.9360336,0.740622189,"","","","",NA,"","",""
"100","Cluster_0207",114.9903152,0.547841075,"","","","",NA,"","CN4O3|C3H2NO4","[M - H]-|[M - H]-"
"101","Cluster_0208",115.0052639,0.698868884,"","","","",NA,"","C4H4O4|C5N4|C3H5N2OP|C7H2NO|CH3N5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"102","Cluster_0209",116.0356606,0.69061871,"","","","",NA,"","",""
"103","Cluster_0212",117.0204986,0.711124155,"","","","",NA,"","",""
"104","Cluster_0213",117.0556361,2.347420248,"","","","",NA,"","C5H10O3|C3H8N3O2","[M - H]-|[M - H]-"
"105","Cluster_0215",121.0305596,2.763546241,"","","","",NA,"","C7H6O2|C3H9NO2P|C2H8N3OS|H6N6S","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"106","Cluster_0216",122.0255659,0.724497227,"nicotinic acid","C6H5NO2","[M-H]-","MS2",2,"","",""
"107","Cluster_0217",122.0255682,0.986826683,"","","","",NA,"","",""
"108","Cluster_0218",124.9908352,0.732401382,"","","","",NA,"","",""
"109","Cluster_0219",125.0255196,0.712163234,"","","","",NA,"","",""
"110","Cluster_0221",129.0205038,0.699404992,"","","","",NA,"","C5H6O4|C6H2N4|C4H7N2OP|C8H4NO|C2H5N5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"111","Cluster_0222",129.0556878,2.694461212,"","","","",NA,"","C6H10O3|C4H8N3O2","[M - H]-|[M - H]-"
"112","Cluster_0223",129.0557038,2.84282095,"","","","",NA,"","C6H10O3|C4H8N3O2","[M - H]-|[M - H]-"
