"","Row","m.z","RT","Annotation","formula","adduct","evidence","SIRIUS_molecularFormula","SIRIUS_adduct"
"3046","Cluster_3046",436.9304183,9.109504468,"","",NA,NA,"C10H17O7P3S3|C10H12N6O2P2S4|C9H16N2O6P2S4|C17H12O4P2S3|C8H17N4O3P3S4|C6H12N6O7P2S3|C14H16O4P2S4|C11H21O2P3S5|C12H14N3O3P2S4|C11H13N4O3P3S3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3047","Cluster_3047",436.9682984,14.34309074,"","",NA,NA,"C10H6N4O16|C12H11N2O12PS|C20H7O10P|C13H15N2O7PS3|C15H10N4O6S3|C9H10O20|C15H7N2O12P|C5H6N6O18|C14H8N4O9P2|C10H4N10O7P2","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3048","Cluster_3048",436.9683466,15.06161528,"","",NA,NA,"C12H13N2O10P3|C12H11N2O12PS|C20H7O10P|C15H12N4O4P2S2|C13H15N2O7PS3|C12H14N4O6S4|C13H7N6O8PS|C14H8N4O9P2|C8H11N2O17P|C10H16O13P2S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3049","Cluster_3049",437.1438109,0.847546602,"","",NA,NA,"",""
"3050","Cluster_3050",437.1639692,16.54461242,"","",NA,NA,"C14H26N6O10|C15H22N10O6|C25H26O7|C22H30O7S|C18H30O12|C13H30N2O14|C12H31N4O11P|C24H27N2O4P|C15H30N6O5S2|C23H34O2S3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3051","Cluster_3051",437.1438882,7.273580438,"","",NA,NA,"C12H22N9O7S|C14H24N6O8S|C15H20N10O4S|C15H25N4O9P|C16H26N3O9S|C13H28N2O12S|C18H16N10O4|C12H24N9O5P2|C19H22N3O9|C8H25N10O7PS","[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+"
"3052","Cluster_3052",437.1780946,1.996395137,"","",NA,NA,"C17H30N2O11|C18H26N6O7|C18H34N2O6S2|C13H26N8O9|C16H31N4O8P|C21H30N2O6S|C14H22N12O5|C12H27N10O6P|C15H30N6O7S|C13H33N3O11P","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3053","Cluster_3053",437.1781139,2.218558763,"","",NA,NA,"C17H30N2O11|C18H26N6O7|C13H26N8O9|C12H27N10O6P|C16H31N4O8P|C18H34N2O6S2|C13H33N3O11P|C11H31N6O10P|C21H30N2O6S|C10H30N8O9S","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3054","Cluster_3054",437.2318993,11.68095046,"","",NA,NA,"",""
"3055","Cluster_3055",437.2318993,11.68095046,"","",NA,NA,"",""
"3056","Cluster_3056",437.2160355,11.76991176,"","",NA,NA,"C19H30N6O6|C21H32N3O7|C17H35N4O7P|C12H30N12O4S|C13H31N10O5P|C19H38N2O5S2|C23H34O8|C16H34N6O6S|C18H34N2O10|C15H26N12O4","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3057","Cluster_3057",437.2160453,11.8358057,"","",NA,NA,"C19H30N6O6|C17H35N4O7P|C21H32N3O7|C19H38N2O5S2|C18H35ClN4O6|C13H31N10O5P|C14H31ClN10O4|C15H33N7O6P|C15H26N12O4|C18H34N2O10","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
