Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_2324,518.2516643,5.372368293,,,,,Yes,yes,GPNAE(18:3)+CO2,C24H42NO9P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol HSID:NA; homol RT:NA,NA,-43.989174100000014,1
Cluster_2326,518.2975204,3.347425601,,,,,No,yes,GPNAE(18:3)+C2H4O,C25H46NO8P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:C2H4O; homol HSID:NA; homol RT:NA,NA,-44.03503020000005,1
Cluster_2328,518.3342377,3.11328263,,,,,No,no,GPNAE(16:1)+C5H8,C26H50NO7P,Cluster_1615,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.0709334,1
Cluster_2403,526.2935042,5.334453563,,,,,Yes,yes,GPNAE(17:1)+C5H2,C27H46NO7P,Cluster_1749,1_layer_mass,simil:NA; mzdiff:C5H2; homol HSID:NA; homol RT:NA,NA,-62.015487500000006,4
Cluster_2438,528.3102502,5.72573166,,,,,No,yes,GPNAE(18:4)+C4H8,C27H48NO7P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:C4H8; homol HSID:NA; homol RT:NA,NA,-56.06380280000002,1
Cluster_2439,528.3180954,3.625613499,,,,,No,yes,GPNAE(18:4)+C4H8,C27H48NO7P,Cluster_1834,1_layer_mass,simil:NA; mzdiff:C4H8; homol HSID:NA; homol RT:NA,NA,-56.071647999999925,1
Cluster_2450,530.2565101,0.984330245,,,,,No,no,GPNAE(20:5)+O2,C25H42NO9P,Cluster_2113,1_layer_mass,simil:NA; mzdiff:O2; homol HSID:NA; homol RT:NA,NA,-31.994306600000016,1
Cluster_2454,530.3181148,3.230882529,,,,,No,yes,GPNAE(18:3)+C4H8,C27H50NO7P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:C4H8; homol HSID:NA; homol RT:NA,NA,-56.05562459999999,1
Cluster_2519,538.3018725,6.286658313,,,,,No,no,GPNAE(18:5)+C5H8,C28H46NO7P,Cluster_1812,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.07109469999995,2
Cluster_2567,542.2519745,5.223287708,,,,,Yes,yes,GPNAE(20:5)+CO2,C26H42NO9P,Cluster_2113,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol HSID:NA; homol RT:NA,NA,-43.98977099999996,1
Cluster_2568,542.2520329,5.319622794,,,,,Yes,yes,GPNAE(20:5)+CO2,C26H42NO9P,Cluster_2113,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol HSID:NA; homol RT:NA,NA,-43.98982940000002,1
Cluster_2569,542.2923607,2.627773878,,,,,No,yes,GPNAE(20:5)+C2H4O,C27H46NO8P,Cluster_2113,1_layer_mass,simil:NA; mzdiff:C2H4O; homol HSID:NA; homol RT:NA,NA,-44.03015720000002,1
Cluster_2571,542.3191098,2.929143468,,,,,Yes,yes,GPNAE(18:3)+C5H8,C28H50NO7P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.05661959999998,1
Cluster_2572,542.3189843,3.284824564,,,,,Yes,yes,GPNAE(18:3)+C5H8,C28H50NO7P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.05649410000001,1
Cluster_2573,542.3333304,3.791680132,,,,,No,yes,GPNAE(18:3)+C5H8,C28H50NO7P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Isoprenylation (+C5H8); homol HSID:NA; homol RT:NA,NA,-68.07084020000002,1
Cluster_2586,544.2515235,4.022094244,,,,,No,yes,GPNAE(11:0)+C6H10O5,C22H44NO12P,Cluster_1071,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05126559999997,1
Cluster_2732,558.267604,4.276505355,,C17H36NO7P+Gluc,[M-H]-,MS2,No,yes,GPNAE(12:0)+C6H10O5,C23H46NO12P,Cluster_1165,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.0518541,1
Cluster_2750,560.2747229,3.027940147,,,,,No,yes,GPNAE(20:5)+C5H2,C30H44NO7P,Cluster_2113,1_layer_mass,simil:NA; mzdiff:C5H2; homol HSID:NA; homol RT:NA,NA,-62.01251940000003,1
Cluster_2859,570.2678761,4.241906321,,,,,Yes,yes,GPNAE(13:1)+C6H10O5,C24H46NO12P,Cluster_1246,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.06238229999997,1
Cluster_2882,572.28384,4.47876493,,,,,Yes,yes,GPNAE(13:0)+C6H10O5,C24H48NO12P,Cluster_1267,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05256480000003,1
Cluster_2990,582.2677539,4.238563533,,C25H46NO12P,[M - H]-,,Yes,yes,GPNAE(14:2)+C6H10O5,C25H46NO12P,Cluster_1334,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.0522095,2
Cluster_2991,582.2677398,4.384524914,,,,,No,yes,GPNAE(14:2)+C6H10O5,C25H46NO12P,Cluster_1334,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05219539999996,2
Cluster_3019,584.2845983,4.487659685,,C25H48NO12P,[M - H]-,MS2,Yes,yes,GPNAE(14:1)+C6H10O5,C25H48NO12P,Cluster_1349,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05316459999995,1
Cluster_3022,584.2854899,4.44209881,,,,,No,yes,GPNAE(14:1)+C6H10O5,C25H48NO12P,Cluster_1349,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.0540562,1
Cluster_3040,586.2904898,2.642565774,,,,,No,yes,GPNAE(14:0)+C6H10O5,C25H50NO12P,Cluster_1359,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.04371130000004,1
Cluster_3041,586.2998304,4.79925197,,,,,Yes,yes,GPNAE(14:0)+C6H10O5,C25H50NO12P,Cluster_1359,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.0530519,1
Cluster_3044,586.3092826,2.820465285,,,,,No,yes,GPNAE(14:0)+C6H10O5,C25H50NO12P,Cluster_1359,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.06250409999996,1
Cluster_3170,600.314953,5.022775293,,,,,Yes,yes,GPNAE(15:0)+C6H10O5,C26H52NO12P,Cluster_1492,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05276789999994,1
